"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.235174999E-2,2.331850891E0,8.793164520E0,4.228706360E0
4.234975000E-2,2.313289490E0,8.783734131E0,4.245471497E0
5.234775000E-2,2.398761749E0,8.665330353E0,4.066443787E0
6.234574999E-2,2.357597351E0,8.508007507E0,3.899391174E0
7.234375000E-2,2.201472015E0,8.499774628E0,3.733835449E0
8.234174999E-2,2.210153961E0,8.561296692E0,3.675307159E0
9.234074999E-2,2.334545288E0,8.426726532E0,3.669319611E0
1.023387500E-1,2.587668915E0,8.367449799E0,3.735332336E0
1.123367500E-1,2.820883942E0,8.437504120E0,3.802692261E0
1.223347500E-1,2.900817719E0,8.513246613E0,4.030668182E0
1.323327500E-1,2.868185577E0,8.500972137E0,4.205055542E0
1.423294583E-1,2.794688416E0,8.491541748E0,4.274211731E0
1.523274583E-1,2.629432068E0,8.494385834E0,4.339775391E0
1.623254583E-1,2.480940857E0,8.523425446E0,4.494553528E0
1.723234583E-1,2.451901245E0,8.494535522E0,4.537514191E0
1.823214583E-1,2.504292297E0,8.516240387E0,4.602928162E0
1.923194583E-1,2.623893585E0,8.631500702E0,4.756508789E0
2.023174583E-1,2.742896118E0,8.587641907E0,4.638404388E0
2.123154583E-1,2.869383087E0,8.559201050E0,4.352947998E0
2.223134583E-1,2.883603516E0,8.608149261E0,4.164789276E0
2.323114583E-1,2.801274719E0,8.600515137E0,4.006119232E0
2.423094583E-1,2.778222656E0,8.550668793E0,3.930676117E0
2.523074583E-1,2.809657288E0,8.505762177E0,3.849993896E0
2.623054583E-1,2.780767365E0,8.525820465E0,3.867806854E0
2.723034583E-1,2.800376587E0,8.519832916E0,4.167633362E0
2.823014583E-1,2.854414215E0,8.462801514E0,4.529131622E0
2.922994583E-1,2.802621918E0,8.417146454E0,4.697681122E0
3.022974583E-1,2.742147675E0,8.407566376E0,4.717889099E0
3.122954583E-1,2.683469696E0,8.415050812E0,4.594395905E0
3.222934583E-1,2.632725220E0,8.508755951E0,4.526287537E0
3.322914583E-1,2.750979309E0,8.527317352E0,4.417613525E0
3.422894583E-1,2.817141724E0,8.426726532E0,4.381837921E0
3.522874583E-1,2.832859039E0,8.427325287E0,4.373305664E0
3.622864583E-1,2.844085693E0,8.376281433E0,4.254452820E0
3.722844583E-1,2.861449585E0,8.372090149E0,4.110751648E0
3.822824583E-1,2.793640594E0,8.455466766E0,4.047732697E0
3.922804583E-1,2.712509308E0,8.520581360E0,3.999832306E0
4.022784583E-1,2.730322266E0,8.532406769E0,3.986360321E0
4.122764583E-1,2.783910828E0,8.508905640E0,4.144132233E0
4.222744583E-1,2.932551727E0,8.537496185E0,4.280798035E0
4.322724583E-1,2.966231689E0,8.621321869E0,4.346062317E0
4.422704583E-1,2.939587097E0,8.677904205E0,4.408033447E0
4.522684583E-1,2.924767914E0,8.616232452E0,4.357738037E0
4.622664583E-1,2.927312622E0,8.528814240E0,4.331243134E0
4.722644583E-1,2.994223480E0,8.512049103E0,4.392166443E0
