"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.484574999E-2,-8.830941468E-2,-5.065345764E-1,1.803006418E-2
7.484375000E-2,-1.126169041E-1,-5.051894188E-1,6.275266409E-2
8.484174999E-2,-1.693630219E-1,-4.519722760E-1,9.357129037E-2
9.483974999E-2,-2.357451171E-1,-3.983259201E-1,1.009709612E-1
1.048377500E-1,-2.990436554E-1,-3.462078571E-1,6.593441218E-2
1.148357500E-1,-3.465705514E-1,-2.988232374E-1,2.167874388E-2
1.248337500E-1,-3.777979910E-1,-2.509246767E-1,-8.860790171E-3
1.348317500E-1,-3.982263803E-1,-1.946442574E-1,-3.214357421E-2
1.448284583E-1,-3.994674385E-1,-1.577807814E-1,-4.429584369E-2
1.548264583E-1,-3.672681153E-1,-1.671809256E-1,-2.190537378E-2
1.648244583E-1,-2.976674736E-1,-2.098375708E-1,2.526746504E-2
1.748224583E-1,-2.031126916E-1,-2.655794919E-1,6.251108646E-2
1.848204583E-1,-9.449405968E-2,-3.058685958E-1,7.495417446E-2
1.948184583E-1,-1.450719777E-2,-3.045617044E-1,7.850489765E-2
2.048164583E-1,2.222338691E-2,-2.605945170E-1,6.531772763E-2
2.148144583E-1,1.069130003E-2,-2.330260426E-1,4.175689816E-2
2.248124583E-1,-3.690205514E-2,-2.070767283E-1,1.814104989E-2
2.348114583E-1,-1.082227156E-1,-1.927624494E-1,-3.100792645E-3
2.448094583E-1,-1.925991178E-1,-2.031453252E-1,-2.411712892E-2
2.548074583E-1,-2.665857673E-1,-1.672531068E-1,-4.614277184E-2
2.648054583E-1,-3.112320602E-1,-1.389370561E-1,-4.668366164E-2
2.748034583E-1,-2.987646163E-1,-1.289653182E-1,-5.472473428E-2
2.848014583E-1,-2.208546549E-1,-1.174146608E-1,-5.766273290E-2
2.947994583E-1,-1.215241849E-1,-1.281194240E-1,-4.529348761E-2
3.047974583E-1,-4.294309020E-2,-1.540852487E-1,-3.072679229E-2
3.147954583E-1,-3.666900098E-3,-1.861761361E-1,-1.173654851E-2
3.247934583E-1,1.162683405E-2,-1.871995777E-1,8.892296813E-3
3.347914583E-1,1.799900457E-2,-1.960468441E-1,-1.070763636E-2
3.447894583E-1,1.690844074E-2,-2.142705917E-1,-2.215416729E-2
3.547874583E-1,5.911001004E-3,-1.884884834E-1,-2.235514484E-2
3.647854583E-1,-1.006477047E-2,-1.373541951E-1,-1.669725962E-2
3.747834583E-1,-3.814368322E-2,-1.329852194E-1,-2.461983450E-2
3.847814583E-1,-7.544977218E-2,-1.556958705E-1,-2.369385399E-2
3.947794583E-1,-1.147866249E-1,-1.879987270E-1,-2.719520219E-2
4.047774583E-1,-1.444520950E-1,-2.260001600E-1,-3.222964332E-2
4.147754583E-1,-1.496129334E-1,-2.588865757E-1,-5.777380243E-2
4.247734583E-1,-1.507274657E-1,-2.689839303E-1,-1.036100015E-1
4.347714583E-1,-1.680636704E-1,-2.611396313E-1,-1.582237929E-1
4.447694583E-1,-2.025010139E-1,-2.516169846E-1,-1.949615628E-1
4.547674583E-1,-2.319466770E-1,-2.264816165E-1,-2.122123688E-1
4.647654583E-1,-2.565079629E-1,-2.091851979E-1,-2.172486782E-1
4.747644583E-1,-2.402102202E-1,-2.314900905E-1,-2.470081598E-1
4.847624583E-1,-1.777915806E-1,-2.591291666E-1,-2.816268802E-1
4.947604583E-1,-1.036777496E-1,-2.738686204E-1,-2.960344255E-1
5.047584583E-1,-4.882834852E-2,-3.089051843E-1,-2.941430211E-1
5.147564583E-1,-3.415018693E-2,-3.587125838E-1,-2.739592791E-1
5.247544583E-1,-5.968031660E-2,-3.850611150E-1,-2.576351464E-1
5.347524583E-1,-1.333930939E-1,-3.868998587E-1,-2.535381913E-1
5.447504583E-1,-2.342933416E-1,-4.259101152E-1,-2.581164241E-1
5.547484583E-1,-3.297975361E-1,-4.817669988E-1,-2.477090210E-1
5.647464583E-1,-3.857572079E-1,-5.032459497E-1,-2.138711810E-1
5.747444583E-1,-3.974259198E-1,-4.909501672E-1,-1.875043809E-1
5.847424583E-1,-3.611749709E-1,-4.790029526E-1,-1.658531427E-1
5.947404583E-1,-3.034318089E-1,-4.437457919E-1,-1.610718369E-1
6.047384583E-1,-2.471533567E-1,-3.895691037E-1,-1.486457884E-1
6.147364583E-1,-1.993090063E-1,-3.365913033E-1,-1.246763393E-1
6.247344583E-1,-1.415730119E-1,-2.854940295E-1,-7.625313848E-2
6.347324583E-1,-7.725824416E-2,-2.717473209E-1,-2.525239252E-2
6.447304583E-1,-4.207212478E-4,-3.099852800E-1,8.240586147E-3
6.547284583E-1,5.600742251E-2,-3.997689486E-1,6.462261081E-3
6.647264583E-1,5.311869085E-2,-4.677719474E-1,-6.441553123E-3
6.747244583E-1,-5.899318494E-3,-4.707188904E-1,-5.874470808E-3
6.847234583E-1,-9.900715947E-2,-3.811383843E-1,4.183222540E-3
6.947214583E-1,-1.786813736E-1,-2.442701012E-1,3.889163258E-3
7.047194583E-1,-2.229010314E-1,-1.843902469E-1,-2.422742546E-2
7.147174583E-1,-2.291834354E-1,-1.816811413E-1,-4.555241391E-2
7.247154583E-1,-2.202855498E-1,-2.013089061E-1,-4.546106607E-2
7.347134583E-1,-2.090642750E-1,-2.225428224E-1,-2.313715033E-2
7.447114583E-1,-1.844047308E-1,-2.240184695E-1,4.023097921E-3
7.547094583E-1,-1.580079496E-1,-2.261518985E-1,1.406731643E-2
7.647074583E-1,-1.260233819E-1,-2.300547659E-1,1.230563503E-2
7.747054583E-1,-1.013677120E-1,-2.140376419E-1,-1.906074956E-2
7.847034583E-1,-9.972746670E-2,-1.565463841E-1,-4.648731276E-2
7.947014583E-1,-1.036317348E-1,-9.405827522E-2,-5.772021413E-2
8.046994583E-1,-1.028005630E-1,-7.121953368E-2,-6.617388874E-2
8.146974583E-1,-1.001973078E-1,-4.219893366E-2,-7.275616378E-2
8.246954583E-1,-1.073468328E-1,-4.249108210E-2,-6.734781712E-2
8.346934583E-1,-1.349920034E-1,-6.310513616E-2,-4.988016561E-2
8.446914583E-1,-1.560877115E-1,-8.850450069E-2,-2.938554436E-2
8.546904583E-1,-1.576959491E-1,-1.189550534E-1,-3.561295569E-2
8.646884583E-1,-1.611814946E-1,-1.274894178E-1,-5.820961297E-2
8.746864583E-1,-1.691305339E-1,-1.125845313E-1,-7.148159295E-2
8.846844583E-1,-2.148916274E-1,-7.346162945E-2,-8.763286471E-2
8.946824583E-1,-2.727988362E-1,-3.339569643E-2,-1.111781523E-1
9.046804583E-1,-3.590775430E-1,-7.985348254E-2,-1.695983261E-1
9.146784583E-1,-4.789574444E-1,-2.708638310E-1,-2.049550414E-1
9.246764583E-1,-6.818983555E-1,-5.291584730E-1,-1.985623986E-1
9.346744583E-1,-9.747298360E-1,-8.040109277E-1,-2.306669652E-1
9.446724583E-1,-1.299140930E0,-9.555410147E-1,-2.880074978E-1
9.546704583E-1,-1.644359827E0,-9.205066562E-1,-3.592561483E-1
9.646684583E-1,-2.057108402E0,-9.195724130E-1,-4.277291894E-1
9.746664583E-1,-2.502453089E0,-8.011189103E-1,-4.129265249E-1
9.846644583E-1,-2.885529518E0,-6.044431329E-1,-3.289024532E-1
9.946624583E-1,-2.987926483E0,-7.671738267E-1,-1.173663437E-1
1.004660458E0,-2.867290974E0,-8.446071148E-1,-1.012853757E-1
1.014658458E0,-2.631105661E0,-3.700726032E-1,-3.115189075E-1
1.024657458E0,-2.308482409E0,-2.525632977E-1,-4.191297889E-1
1.034655458E0,-1.913880348E0,-5.877516270E-1,-4.084503949E-1
1.044653458E0,-1.441581488E0,-9.733583927E-1,-3.636666834E-1
1.054651458E0,-1.001954198E0,-1.160935760E0,-3.471003175E-1
1.064649458E0,-6.698390841E-1,-1.258680701E0,-3.416767716E-1
1.074647458E0,-5.036899447E-1,-1.364927888E0,-3.390897214E-1
1.084645458E0,-5.147141218E-1,-1.396908402E0,-3.014124036E-1
1.094643458E0,-6.540641189E-1,-1.377955198E0,-2.137587368E-1
1.104641458E0,-8.355015516E-1,-1.366167784E0,-9.736049920E-2
1.114639458E0,-9.622409940E-1,-1.396903276E0,-1.368075144E-2
1.124637458E0,-8.957229257E-1,-1.409717441E0,-2.945012785E-2
1.134635458E0,-5.287621617E-1,-1.302212596E0,-2.437335402E-1
1.144633833E0,2.527917027E-1,-9.635114670E-1,-6.876188517E-1
1.154631833E0,9.515740871E-1,-2.907923162E-1,-8.765681982E-1
1.164629833E0,1.477580667E0,2.085533291E-1,-6.592707634E-1
1.174627833E0,1.823037863E0,2.423706800E-1,-7.811464369E-2
1.184625833E0,1.824272037E0,6.101220846E-1,5.552409887E-1
1.194624833E0,1.694279194E0,8.923503160E-1,9.988340735E-1
1.204622833E0,1.489784956E0,1.020007133E0,1.170262575E0
1.214620833E0,1.250014782E0,1.072537422E0,1.230656147E0
1.224618833E0,1.021492600E0,9.795877934E-1,1.276054263E0
1.234616833E0,8.745541573E-1,5.700785518E-1,1.266890526E0
1.244614833E0,7.842716575E-1,-7.675241679E-2,1.167306900E0
1.254612833E0,6.806515455E-1,-5.950695276E-1,1.063789248E0
1.264610833E0,5.645672679E-1,-8.379521966E-1,9.662247896E-1
1.274608833E0,4.627885818E-1,-8.482208848E-1,8.519878983E-1
1.284606833E0,3.985938728E-1,-7.045395970E-1,7.624720931E-1
1.294604833E0,3.973375559E-1,-4.870756269E-1,6.664786339E-1
1.304602833E0,4.501648247E-1,-1.974909604E-1,5.724554658E-1
1.314600833E0,5.559072495E-1,3.392671421E-2,5.163910985E-1
1.324598833E0,6.958305836E-1,1.379966587E-1,4.845253229E-1
1.334596833E0,8.743569255E-1,8.281849325E-2,4.511732161E-1
1.344594833E0,1.011284947E0,-2.193721384E-2,3.785099387E-1
1.354593833E0,1.085088253E0,-1.149533689E-1,2.944826186E-1
1.364591833E0,1.108999133E0,-1.570861638E-1,2.589368522E-1
1.374589833E0,1.060282111E0,-1.217709631E-1,2.570704222E-1
1.384587833E0,9.650866389E-1,-1.417046599E-2,2.420440763E-1
1.394585833E0,8.590168953E-1,6.063864380E-2,2.046959400E-1
1.404583833E0,7.880964279E-1,6.582035869E-2,1.613740325E-1
1.414581833E0,7.440494895E-1,1.109755225E-2,1.397346705E-1
1.424579833E0,6.859515905E-1,-6.059261039E-2,1.315678209E-1
1.434577833E0,6.096593738E-1,-1.471380591E-1,1.346647143E-1
1.444575833E0,5.111154914E-1,-1.668515801E-1,1.179475263E-1
1.454573833E0,3.960495889E-1,-1.542714834E-1,1.085092947E-1
1.464571833E0,2.937703431E-1,-1.716712415E-1,1.026439518E-1
