"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.484574999E-2,-4.190757930E-2,-1.798223466E-1,-1.491893685E-1
7.484375000E-2,-1.647447163E-1,-1.117858994E-1,-2.776743311E-1
8.484174999E-2,-1.441245103E-1,-1.233885294E-1,-3.198947364E-1
9.483974999E-2,1.713161096E-2,-2.472132611E-1,-2.885720792E-1
1.048377500E-1,2.535379019E-1,-2.365350759E-1,-2.586223483E-1
1.148357500E-1,4.295636514E-1,-1.329715312E-1,-1.442712754E-1
1.248337500E-1,4.342893711E-1,-7.562379420E-2,5.891303658E-2
1.348317500E-1,3.843506411E-1,-8.266793489E-2,1.723674390E-1
1.448284583E-1,2.795395929E-1,-7.045193195E-2,1.775436866E-1
1.548264583E-1,8.605493456E-2,-4.276887417E-2,2.657986361E-1
1.648244583E-1,-2.153646469E-2,-9.066692591E-3,3.692358810E-1
1.748224583E-1,-2.886565715E-2,-3.605217755E-2,3.680056268E-1
1.848204583E-1,3.359517753E-2,4.833249986E-2,4.921835303E-1
1.948184583E-1,1.370271599E-1,1.298976499E-1,5.778943563E-1
2.048164583E-1,2.457210517E-1,4.932184875E-2,3.601148093E-1
2.148144583E-1,3.300618750E-1,7.818721354E-2,1.123270592E-1
2.248124583E-1,2.820041943E-1,1.010890031E-1,-5.504510343E-2
2.348114583E-1,1.955551574E-1,8.823857725E-2,-1.877219349E-1
2.448094583E-1,2.031732023E-1,2.859113038E-2,-2.597909144E-1
2.548074583E-1,2.091151428E-1,2.304504633E-2,-3.442004424E-1
2.648054583E-1,1.766291821E-1,5.410194755E-2,-2.558642167E-1
2.748034583E-1,2.299060875E-1,3.513065636E-2,1.013155827E-1
2.848014583E-1,2.438856107E-1,-1.573661149E-2,3.694510585E-1
2.947994583E-1,1.767306313E-1,-3.675852120E-2,4.770336869E-1
3.047974583E-1,1.236472687E-1,-4.357520521E-2,4.178607416E-1
3.147954583E-1,4.271010965E-2,-1.078226566E-3,3.098916122E-1
3.247934583E-1,4.866637588E-2,9.038684428E-2,2.436710179E-1
3.347914583E-1,1.610381663E-1,3.999846339E-2,1.491151088E-1
3.447894583E-1,1.948359498E-1,-3.159484506E-2,1.513107383E-1
3.547874583E-1,1.966146728E-1,-3.501195788E-2,1.176307762E-1
3.647854583E-1,2.073934302E-1,-8.849994779E-2,-3.053532958E-2
3.747834583E-1,1.998999310E-1,-5.388443112E-2,-1.426779091E-1
3.847814583E-1,9.968157828E-2,4.251744390E-2,-1.934820271E-1
3.947794583E-1,5.136457354E-2,8.731530190E-2,-2.482552350E-1
4.047774583E-1,8.332925498E-2,8.696213007E-2,-2.054524469E-1
4.147754583E-1,1.598494273E-1,7.547702909E-2,-3.037511587E-2
4.247734583E-1,2.914790225E-1,1.366997159E-1,5.928082645E-2
4.347714583E-1,2.773629668E-1,2.294295394E-1,1.276119733E-1
4.447694583E-1,2.611319733E-1,2.465706521E-1,1.332951745E-1
4.547674583E-1,2.552303785E-1,1.574052912E-1,7.352932155E-2
4.647654583E-1,2.897543862E-1,1.000487834E-1,4.106119484E-2
4.747644583E-1,3.814925221E-1,1.075460833E-1,1.886966658E-1
4.847624583E-1,4.238456592E-1,1.321956056E-1,3.763303077E-1
4.947604583E-1,2.968227929E-1,1.391561311E-1,2.857966983E-1
5.047584583E-1,1.247892299E-1,1.488958383E-1,2.257934484E-1
