"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.484574999E-2,-1.491213989E1,-2.695841980E1,-3.612176514E1
7.484375000E-2,-1.491213989E1,-2.695841980E1,-3.612176514E1
8.484174999E-2,-1.532673073E1,-2.672992706E1,-3.587860107E1
9.483974999E-2,-1.532673073E1,-2.672992706E1,-3.587860107E1
1.048377500E-1,-1.590124130E1,-2.651424599E1,-3.590075684E1
1.148357500E-1,-1.590124130E1,-2.651424599E1,-3.590075684E1
1.248337500E-1,-1.596939468E1,-2.625661087E1,-3.611419678E1
1.348317500E-1,-1.596939468E1,-2.625661087E1,-3.611419678E1
1.448284583E-1,-1.633547211E1,-2.613898659E1,-3.630236816E1
1.548264583E-1,-1.633547211E1,-2.613898659E1,-3.630236816E1
1.648244583E-1,-1.622938156E1,-2.601362991E1,-3.651196289E1
1.748224583E-1,-1.622938156E1,-2.601362991E1,-3.651196289E1
1.848204583E-1,-1.642300797E1,-2.607002831E1,-3.639709473E1
1.948184583E-1,-1.642300797E1,-2.607002831E1,-3.639709473E1
2.048164583E-1,-1.658036041E1,-2.565393257E1,-3.673529053E1
2.148144583E-1,-1.658036041E1,-2.565393257E1,-3.673529053E1
2.248124583E-1,-1.685016251E1,-2.581690598E1,-3.655548096E1
2.348114583E-1,-1.685016251E1,-2.581690598E1,-3.655548096E1
2.448094583E-1,-1.697379303E1,-2.582019806E1,-3.624829102E1
2.548074583E-1,-1.697379303E1,-2.582019806E1,-3.624829102E1
2.648054583E-1,-1.714402008E1,-2.561332512E1,-3.670452881E1
2.748034583E-1,-1.714402008E1,-2.561332512E1,-3.670452881E1
2.848014583E-1,-1.718661880E1,-2.540323067E1,-3.708215332E1
2.947994583E-1,-1.718661880E1,-2.540323067E1,-3.708215332E1
3.047974583E-1,-1.746634674E1,-2.526601410E1,-3.660290527E1
3.147954583E-1,-1.746634674E1,-2.526601410E1,-3.660290527E1
3.247934583E-1,-1.733890915E1,-2.514012527E1,-3.691143799E1
