"Time (s)","X (hPa)"
-4.944546667E-1,1.015818405E3
5.272873333E-1,1.015824738E3
1.548996333E0,1.015830994E3
2.570908333E0,1.015839920E3
3.593004333E0,1.015845718E3
4.615228333E0,1.015845718E3
4.768917333E0,1.015844650E3
5.715461333E0,1.015843048E3
6.662075333E0,1.015843353E3
7.608938333E0,1.015843353E3
8.555675333E0,1.015847473E3
9.502516333E0,1.015853348E3
1.044931333E1,1.015858765E3
1.139620633E1,1.015861893E3
1.234316833E1,1.015861893E3
1.329018533E1,1.015854340E3
1.423725433E1,1.015843201E3
1.518448033E1,1.015831528E3
1.613162533E1,1.015820770E3
1.707880933E1,1.015812912E3
1.802601433E1,1.015807953E3
1.897321233E1,1.015806046E3
1.992041233E1,1.015806046E3
2.086765633E1,1.015808334E3
2.181503433E1,1.015810089E3
2.276229433E1,1.015813522E3
2.370953733E1,1.015818634E3
2.465689533E1,1.015822906E3
2.560435133E1,1.015824280E3
2.655175033E1,1.015832291E3
2.749907433E1,1.015843658E3
2.844648833E1,1.015853882E3
2.939393733E1,1.015864944E3
3.034170433E1,1.015873184E3
3.128931633E1,1.015873184E3
3.223701133E1,1.015863495E3
3.318458733E1,1.015853882E3
3.413215933E1,1.015845032E3
3.507975033E1,1.015838394E3
3.602733933E1,1.015838394E3
3.697491733E1,1.015844116E3
3.792256333E1,1.015854645E3
3.887023433E1,1.015863571E3
3.981798233E1,1.015871964E3
4.076559733E1,1.015879364E3
4.171328033E1,1.015881958E3
4.266101933E1,1.015881958E3
4.360852533E1,1.015879974E3
4.455597533E1,1.015875549E3
4.550363533E1,1.015869141E3
4.645130733E1,1.015861511E3
4.739911833E1,1.015852203E3
4.834690633E1,1.015843048E3
4.929473633E1,1.015836487E3
5.024237233E1,1.015830536E3
5.118998633E1,1.015826111E3
5.213768233E1,1.015824356E3
5.308541733E1,1.015822144E3
5.403333433E1,1.015821838E3
5.498123633E1,1.015821838E3
5.592904333E1,1.015822830E3
5.687679533E1,1.015824280E3
5.782450633E1,1.015826721E3
5.877229033E1,1.015826721E3
5.971993933E1,1.015828934E3
6.066773533E1,1.015828934E3
6.161544033E1,1.015828094E3
6.256320633E1,1.015828094E3
6.351105833E1,1.015829239E3
6.445894233E1,1.015829315E3
6.540673433E1,1.015831451E3
6.635456933E1,1.015835648E3
6.730240233E1,1.015840683E3
6.825028533E1,1.015844650E3
6.919817733E1,1.015849915E3
7.014609333E1,1.015854950E3
7.109411133E1,1.015859375E3
7.204200533E1,1.015863190E3
7.298990033E1,1.015867996E3
7.393784333E1,1.015869675E3
7.488589333E1,1.015870972E3
7.583396133E1,1.015871582E3
7.678214633E1,1.015871582E3
7.773027333E1,1.015871964E3
7.867826833E1,1.015872803E3
7.962636033E1,1.015873871E3
8.057438233E1,1.015874634E3
8.152242333E1,1.015875702E3
8.247043233E1,1.015875702E3
8.341849133E1,1.015873184E3
8.436655633E1,1.015872192E3
8.531464333E1,1.015871735E3
8.626280533E1,1.015871277E3
8.721100733E1,1.015870667E3
8.815931333E1,1.015870514E3
8.910755633E1,1.015869904E3
9.005585333E1,1.015869904E3
9.100404733E1,1.015870819E3
9.195234433E1,1.015872650E3
9.290073133E1,1.015874557E3
9.384911733E1,1.015877380E3
9.479749733E1,1.015878143E3
9.574611433E1,1.015878143E3
9.669483533E1,1.015878143E3
9.764352733E1,1.015880051E3
9.859210833E1,1.015882034E3
9.954070333E1,1.015882645E3
1.004893493E2,1.015882645E3
1.014380473E2,1.015881042E3
1.023867383E2,1.015876999E3
1.033353593E2,1.015872726E3
1.042839253E2,1.015870285E3
1.052326663E2,1.015870285E3
1.061812503E2,1.015873184E3
1.071299213E2,1.015877228E3
1.080785493E2,1.015881653E3
1.090271883E2,1.015884628E3
1.099758513E2,1.015886612E3
1.109243963E2,1.015886612E3
1.118730473E2,1.015886612E3
1.128215933E2,1.015886612E3
1.137702553E2,1.015886078E3
1.147188823E2,1.015886078E3
1.156676753E2,1.015888138E3
1.166164023E2,1.015890961E3
1.175651103E2,1.015894775E3
1.185140113E2,1.015898666E3
1.194627953E2,1.015902405E3
1.204115993E2,1.015904007E3
1.213604713E2,1.015904770E3
1.223093103E2,1.015904846E3
1.232582093E2,1.015905838E3
1.242071513E2,1.015905838E3
1.251560773E2,1.015905838E3
1.261051103E2,1.015905838E3
1.270541403E2,1.015906906E3
1.280031333E2,1.015909882E3
1.289521503E2,1.015915146E3
1.299011503E2,1.015920181E3
1.308502623E2,1.015925217E3
1.317993483E2,1.015927811E3
1.327484773E2,1.015929184E3
1.336976453E2,1.015929184E3
1.346467773E2,1.015928574E3
1.355958553E2,1.015927658E3
1.365449133E2,1.015925903E3
1.374940233E2,1.015925827E3
1.384431623E2,1.015923996E3
1.393923073E2,1.015922699E3
1.403415703E2,1.015921402E3
1.412910913E2,1.015918274E3
1.422407533E2,1.015915298E3
1.431903503E2,1.015913620E3
1.441400733E2,1.015911331E3
1.450899673E2,1.015910263E3
1.460399833E2,1.015910263E3
1.469899663E2,1.015911484E3
1.479400593E2,1.015911484E3
1.488901173E2,1.015907059E3
1.498403293E2,1.015902786E3
1.507905203E2,1.015896530E3
1.517407033E2,1.015888367E3
1.526909803E2,1.015882034E3
1.536412143E2,1.015874939E3
1.545915983E2,1.015868759E3
1.555419933E2,1.015864182E3
1.564924723E2,1.015861130E3
1.574428613E2,1.015858383E3
1.583932953E2,1.015858383E3
1.593437253E2,1.015858383E3
1.602941873E2,1.015850449E3
1.612445673E2,1.015839386E3
1.621948883E2,1.015829086E3
1.631453513E2,1.015818863E3
1.640956903E2,1.015808029E3
1.650460883E2,1.015805817E3
1.659964233E2,1.015805817E3
1.669466463E2,1.015806427E3
1.678970363E2,1.015808029E3
1.688475013E2,1.015809937E3
1.697979783E2,1.015810699E3
1.707483163E2,1.015811310E3
1.716986713E2,1.015814590E3
1.726490503E2,1.015816193E3
1.735995223E2,1.015817413E3
1.745502053E2,1.015820084E3
1.755009123E2,1.015823364E3
1.764516493E2,1.015824127E3
1.774023963E2,1.015825119E3
