"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.138800621E-2,5.235606119E1,4.958156679E0,-6.047645569E0,-1.000000000E0,-1.000000000E0,8.312120596E2,8.312120596E2
4.464010000E-1,5.235583287E1,4.957276418E0,-2.011597157E0,-1.000000000E0,-1.000000000E0,4.900000000E1,4.900000000E1
7.499756932E0,5.235572693E1,4.956965896E0,-2.204682827E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
1.392529893E1,5.235574289E1,4.956962658E0,-2.296196938E0,-1.000000000E0,-1.000000000E0,4.900000000E1,4.900000000E1
1.513469398E1,5.235575594E1,4.956992602E0,-2.329658985E0,-1.000000000E0,-1.000000000E0,4.900000000E1,4.900000000E1
2.153844202E1,5.235568672E1,4.956384763E0,-2.342278957E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.281288695E1,5.235567596E1,4.956292535E0,-2.347686768E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.923179698E1,5.235577735E1,4.956826260E0,-2.366937637E0,-1.000000000E0,-1.000000000E0,4.900000000E1,4.900000000E1
3.564045095E1,5.235573927E1,4.956893554E0,-2.373686314E0,-1.000000000E0,-1.000000000E0,1.063333333E2,1.063333333E2
3.683174396E1,5.235567810E1,4.956706971E0,-2.376403809E0,-1.000000000E0,-1.000000000E0,1.063333333E2,1.063333333E2
4.363458896E1,5.235578365E1,4.957124326E0,-2.228171349E0,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.482951093E1,5.235579570E1,4.957166841E0,-2.166264057E0,-1.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.123148096E1,5.235553917E1,4.956312749E0,-2.030404091E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
5.764155996E1,5.235574034E1,4.956967959E0,-2.209290981E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
6.407764399E1,5.235557032E1,4.956415314E0,-2.224952698E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
7.049074197E1,5.235549821E1,4.956198119E0,-2.237570763E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
7.650241804E1,5.235574174E1,4.956972202E0,-2.203389168E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
